Name,Location
羽前国,"38.256666,140.341111"
羽後国,"39.720555,140.1025"
伊豆国,"35.118888,138.918611"
相模国,"35.456795,139.334884"
武蔵国,"35.669166,139.481111"
名古屋,"35.170915,136.881537"
安芸国,"34.399722,132.509444"
阿波国,"34.066944,134.471666"
陸奥国,"40.823888,140.741944"
越前国,"35.901666,136.166111"
摂津国,"34.671944,135.499722"
岩代国,"37.750833,140.4675"
豊後国,"33.238055,131.6125"
伊予国,"34.033611,133.013333"
中国,"35.86166,104.195397"
但馬国,"35.47,134.7675"
三河国,"34.949166,137.168055"
陸前国,"38.306388,140.988055"
遠江国,"34.726666,137.8575"
伊賀国,"34.8025,136.156944"
伊勢国,"34.894444,136.496111"
肥前国,"33.316666,130.273333"
越後国,"37.902222,139.022777"
上野国,"36.39,139.035833"
丹後国,"35.386666,135.117222"
甲斐国,"35.638611,138.650833"
尾張国,"35.254722,136.799722"
山城国,"35.021111,135.755277"
横浜,"35.443708,139.638026"
近江国,"35.003888,135.868333"
丹波国,"35.07,135.5525"
大阪,"34.662762,135.572854"
越中国,"36.792777,137.0525"
備前国,"34.693055,133.963888"
肥後国,"32.790277,130.741388"
磐城国,"37.059722,140.889722"
上総国,"35.496388,140.111388"
薩摩国,"31.831944,130.305833"
駿河国,"34.990833,138.383888"
東京,"35.709026,139.731993"
備後国,"34.574166,133.240555"
豊前国,"33.671111,130.971111"
江戸,"35.676666,139.762222"
下総国,"35.743333,139.905277"
常陸国,"36.189444,140.268333"
紀伊国,"34.226944,135.166666"
美作国,"35.073888,133.993888"
筑前国,"33.606111,130.417777"
飛騨国,"36.142777,137.253888"
讃岐国,"34.293333,133.918333"
因幡国,"35.500833,134.234166"
美濃国,"35.380833,136.525"
備中国,"34.683055,133.773888"
加賀国,"36.558888,136.610277"
佐渡国,"38.033611,138.239444"
大和国,"34.448611,135.799444"
京都,"35.011636,135.768029"
信濃国,"36.654722,138.180277"
北海道,"43.063888,141.347777"
和泉国,"34.487222,135.426111"
播磨国,"34.833888,134.696388"
土佐国,"33.598611,133.641388"
下野国,"36.379444,139.785"
